[2026-05-30T07:38:16.656Z] GET http://localhost:3000/node_modules/.vite/deps/react-icons_fi.js?v=b669e866 → 200 (?ms, 153448B)
[2026-05-30T07:38:16.656Z] GET http://localhost:3000/src/pages/Login.tsx → 200 (38ms, 55897B)
[2026-05-30T07:38:16.656Z] GET http://localhost:3000/src/pages/Register.tsx → 200 (39ms, 105743B)
[2026-05-30T07:38:16.656Z] GET http://localhost:3000/src/pages/Welcome.tsx → 200 (41ms, 88138B)
[2026-05-30T07:38:16.656Z] GET http://localhost:3000/src/pages/AdminLayout.tsx → 200 (43ms, 66469B)
[2026-05-30T07:38:16.656Z] GET http://localhost:3000/src/pages/Dashboard.tsx → 200 (43ms, 66068B)
[2026-05-30T07:38:16.656Z] GET http://localhost:3000/src/pages/ParsingPage.tsx → 200 (49ms, 176242B)
[2026-05-30T07:38:16.656Z] GET http://localhost:3000/src/pages/LibraryPage.tsx → 200 (47ms, 79243B)
[2026-05-30T07:38:16.656Z] GET http://localhost:3000/src/pages/GraphPage.tsx → 200 (47ms, 102921B)
[2026-05-30T07:38:16.656Z] GET http://localhost:3000/src/pages/AdminChatPage.tsx?t=1780126696549 → 200 (49ms, 132390B)
[2026-05-30T07:38:16.656Z] GET http://localhost:3000/src/pages/UserChatPage.tsx → 200 (48ms, 176302B)
[2026-05-30T07:38:16.656Z] GET http://localhost:3000/src/pages/NotFound.tsx → 200 (47ms, 8928B)
[2026-05-30T07:38:16.656Z] GET http://localhost:3000/node_modules/.vite/deps/chunk-3ZE2DES2.js?v=31ca3d55 → 200 (?ms, 12659B)
[2026-05-30T07:38:16.698Z] GET http://localhost:3000/src/components/StarrySky.tsx → 200 (5ms, 17564B)
[2026-05-30T07:38:16.748Z] GET https://fonts.googleapis.com/css2?family=Inter:wght@300;400;500;600;700;800&family=Noto+Sans+SC:wght@300;400;500;600;700&display=swap → 200 (281ms, ?B)
[2026-05-30T07:38:17.543Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7.woff2 → 200 (354ms, 48256B)
[2026-05-30T07:38:17.543Z] GET https://fonts.gstatic.com/s/notosanssc/v40/k3kXo84MPvpLmixcA63oeALhLOCT-xWNm8Hqd37g1OkDRZe7lR4sg1IzSy-MNbE9VH8V.118.woff2 → 200 (405ms, 46192B)
[2026-05-30T07:38:17.543Z] GET https://fonts.gstatic.com/s/notosanssc/v40/k3kXo84MPvpLmixcA63oeALhLOCT-xWNm8Hqd37g1OkDRZe7lR4sg1IzSy-MNbE9VH8V.117.woff2 → pending (?ms, ?B)
[2026-05-30T07:38:17.543Z] GET https://fonts.gstatic.com/s/notosanssc/v40/k3kXo84MPvpLmixcA63oeALhLOCT-xWNm8Hqd37g1OkDRZe7lR4sg1IzSy-MNbE9VH8V.119.woff2 → pending (?ms, ?B)
[2026-05-30T07:38:17.543Z] GET https://fonts.gstatic.com/s/notosanssc/v40/k3kXo84MPvpLmixcA63oeALhLOCT-xWNm8Hqd37g1OkDRZe7lR4sg1IzSy-MNbE9VH8V.116.woff2 → pending (?ms, ?B)
[2026-05-30T07:38:17.543Z] GET https://fonts.gstatic.com/s/notosanssc/v40/k3kXo84MPvpLmixcA63oeALhLOCT-xWNm8Hqd37g1OkDRZe7lR4sg1IzSy-MNbE9VH8V.115.woff2 → pending (?ms, ?B)
[2026-05-30T07:38:17.543Z] GET https://fonts.gstatic.com/s/notosanssc/v40/k3kXo84MPvpLmixcA63oeALhLOCT-xWNm8Hqd37g1OkDRZe7lR4sg1IzSy-MNbE9VH8V.114.woff2 → pending (?ms, ?B)
[2026-05-30T07:38:17.543Z] GET https://fonts.gstatic.com/s/notosanssc/v40/k3kXo84MPvpLmixcA63oeALhLOCT-xWNm8Hqd37g1OkDRZe7lR4sg1IzSy-MNbE9VH8V.113.woff2 → pending (?ms, ?B)
[2026-05-30T07:38:17.543Z] GET https://fonts.gstatic.com/s/notosanssc/v40/k3kXo84MPvpLmixcA63oeALhLOCT-xWNm8Hqd37g1OkDRZe7lR4sg1IzSy-MNbE9VH8V.112.woff2 → pending (?ms, ?B)
[2026-05-30T07:38:17.543Z] GET https://fonts.gstatic.com/s/notosanssc/v40/k3kXo84MPvpLmixcA63oeALhLOCT-xWNm8Hqd37g1OkDRZe7lR4sg1IzSy-MNbE9VH8V.111.woff2 → pending (?ms, ?B)
[2026-05-30T07:38:17.543Z] GET https://fonts.gstatic.com/s/notosanssc/v40/k3kXo84MPvpLmixcA63oeALhLOCT-xWNm8Hqd37g1OkDRZe7lR4sg1IzSy-MNbE9VH8V.109.woff2 → pending (?ms, ?B)
[2026-05-30T07:38:17.543Z] GET https://fonts.gstatic.com/s/notosanssc/v40/k3kXo84MPvpLmixcA63oeALhLOCT-xWNm8Hqd37g1OkDRZe7lR4sg1IzSy-MNbE9VH8V.108.woff2 → pending (?ms, ?B)
